global_step,return_value,intrinsic_reward
8406664,42.0,0.19547257
8417536,40.0,0.1957834
8428328,44.0,0.075816885
8439672,26.0,0.058926716
8449800,19.0,0.23428273
8460736,57.0,0.13866927
8470808,25.0,0.12105118
8483408,30.0,0.087281846
8493552,40.0,0.13552207
8503928,53.0,0.18946266
8517664,18.0,0.11774267
8528536,33.0,0.23923847
8541104,55.0,0.13872658
8551872,34.0,0.107416086
8562504,61.0,0.06756411
8572960,52.0,0.10770199
8583448,13.0,0.08699031
8593760,22.0,0.13992542
8605096,31.0,0.051400423
8615216,28.0,0.046135798
8625440,31.0,0.09193323
8638456,30.0,0.22992769
8649392,32.0,0.07453293
8662408,47.0,0.16819328
8673632,15.0,0.085867725
8683832,43.0,0.14374217
8693992,46.0,0.038287662
8705800,52.0,0.15621139
8717104,19.0,0.119879305
8728112,15.0,0.14687172
8739080,37.0,0.07964376
8749808,43.0,0.08393879
8760264,30.0,0.07873877
8770288,31.0,0.06886872
8780504,29.0,0.13938393
8792944,22.0,0.12715092
8804096,69.0,0.060193744
8814640,35.0,0.06263907
8824720,16.0,0.1404857
8834960,45.0,0.19849423
8845656,40.0,0.07784891
8858000,29.0,0.14334437
8868672,50.0,0.1308142
8879744,57.0,0.19715533
8890320,40.0,0.055549994
8902928,22.0,0.13753796
8913128,29.0,0.13406059
8923200,34.0,0.18224514
8934880,41.0,0.15430921
8945200,94.0,0.11152904
8955280,38.0,0.14845043
8966512,15.0,0.03943742
8977808,36.0,0.04962018
8988448,19.0,0.022490235
8999720,58.0,0.08017042
9012016,46.0,0.2642297
9024224,40.0,0.07247642
9035816,30.0,0.08827963
9046856,49.0,0.14708039
9057144,36.0,0.21228865
9067184,33.0,0.22962059
9077200,59.0,0.10469292
9088136,21.0,0.092396095
9098152,24.0,0.06709281
9108424,44.0,0.039699465
9119888,63.0,0.16543266
9130272,23.0,0.065971114
9140752,49.0,0.093108326
9151328,47.0,0.13661578
9162088,24.0,0.06408733
9173440,33.0,0.16088477
9183752,57.0,0.24457812
9196568,37.0,0.12767817
9207816,49.0,0.1114871
9219464,14.0,0.1084863
9229984,14.0,0.08601917
9242080,43.0,0.06265345
9255152,34.0,0.10887413
9265160,58.0,0.09411706
9276024,41.0,0.13860738
9286128,20.0,0.12836078
9298056,18.0,0.11089921
9308952,11.0,0.06420392
9319152,28.0,0.21281555
9330968,7.0,0.14242037
9341304,35.0,0.16825925
9352424,46.0,0.09696077
9362808,6.0,0.10572488
9374096,38.0,0.10362079
9384856,54.0,0.04683043
9395336,23.0,0.11729004
9406688,38.0,0.11443487
9420216,35.0,0.14888084
9430936,28.0,0.12429994
9441256,47.0,0.13603431
9451720,30.0,0.13044879
9462000,45.0,0.1343584
9472120,22.0,0.15416059
9483968,55.0,0.11056113
9495104,26.0,0.12060583
9505344,29.0,0.07258618
9515384,47.0,0.09420879
9525992,48.0,0.10622917
9536432,19.0,0.13908061
9546832,43.0,0.287984
9557232,93.0,0.2513044
9567320,54.0,0.064299494
9578744,51.0,0.14189029
9588976,40.0,0.16764003
9598984,31.0,0.14841546
9612208,30.0,0.09887416
9622968,46.0,0.16073938
9632992,49.0,0.13850898
9643800,27.0,0.1039125
9653816,37.0,0.12175448
9664424,60.0,0.14419006
9674848,44.0,0.037198827
9686336,43.0,0.23192295
9698040,23.0,0.15030755
9708224,39.0,0.08412802
9719488,28.0,0.0767367
9730792,14.0,0.11173783
9741536,50.0,0.15683955
9751696,16.0,0.2037122
9762272,37.0,0.18353531
9772864,69.0,0.08149576
9783368,59.0,0.1705031
9795984,29.0,0.14329961
9806424,60.0,0.091806695
9816912,43.0,0.16026194
9827424,36.0,0.13225947
9841536,35.0,0.18955997
9852448,48.0,0.044877127
9863272,35.0,0.12729463
9873416,43.0,0.16433315
9883792,25.0,0.09426445
9893808,55.0,0.12448321
9904744,47.0,0.109525874
9916984,272.0,0.06089443
9927792,50.0,0.113665916
9938008,25.0,0.11834018
9949016,27.0,0.096085116
9960568,25.0,0.094976924
9972664,65.0,0.1597277
9984256,61.0,0.20467712
9994920,60.0,0.11973858
